Target,Secondary,Audio
Wood,Metal,Wood-Metal1
Wood,Metal,Wood-Metal4
Wood,Metal,Wood-Metal2
Plastic,Metal,Plastic-Metal2
Glass,Metal,Glass-Metal1
Metal,Metal,Metal-Metal4
Wood,Metal,Wood-Metal1
Plastic,Metal,Plastic-Metal4
Glass,Metal,Glass-Metal3
Wood,Metal,Wood-Metal1
Plastic,Metal,Plastic-Metal2
Plastic,Metal,Plastic-Metal1
Plastic,Metal,Plastic-Metal1
Plastic,Metal,Plastic-Metal2
Glass,Metal,Glass-Metal2
Metal,Metal,Metal-Metal3
Wood,Metal,Wood-Metal4
Wood,Metal,Wood-Metal3
Glass,Metal,Glass-Metal1
Plastic,Metal,Plastic-Metal1
